Crude,Year of Date,Month of Date,Monthly production dynamic title,Avg. Value
Light Louisiana Sweet,2022,August,United States Production,44
Hoops Blend,2022,August,United States Production,72
Heavy Louisiana Sweet,2022,August,United States Production,32
Eagle Ford,2022,August,United States Production,1025.585021
Bakken,2022,August,United States Production,1062
Alaska North Slope,2022,August,United States Production,434.976725
West Texas Sour,2022,September,United States Production,886.930542
West Texas Light,2022,September,United States Production,623.805964
West Texas Intermediate (Midland),2022,September,United States Production,2624.090852
West Texas Intermediate,2022,September,United States Production,1769.364944
Total,2022,September,United States Production,12439
Thunder Horse,2022,September,United States Production,130
Southern Green Canyon,2022,September,United States Production,169
Poseidon,2022,September,United States Production,203
Other Crudes - United States,2022,September,United States Production,3077.80594
Mars Blend,2022,September,United States Production,230.842524
Light Louisiana Sweet,2022,September,United States Production,43
Hoops Blend,2022,September,United States Production,73
Heavy Louisiana Sweet,2022,September,United States Production,32
Eagle Ford,2022,September,United States Production,1030.190631
Bakken,2022,September,United States Production,1112
Alaska North Slope,2022,September,United States Production,433.968603
West Texas Sour,2022,October,United States Production,890.922604
West Texas Light,2022,October,United States Production,636.880329
West Texas Intermediate (Midland),2022,October,United States Production,2642.324581
West Texas Intermediate,2022,October,United States Production,1796.143289
Total,2022,October,United States Production,12431
Thunder Horse,2022,October,United States Production,130
Southern Green Canyon,2022,October,United States Production,168
Poseidon,2022,October,United States Production,203
Other Crudes - United States,2022,October,United States Production,3008.684513
Mars Blend,2022,October,United States Production,231.264942
Light Louisiana Sweet,2022,October,United States Production,44
Hoops Blend,2022,October,United States Production,73
Heavy Louisiana Sweet,2022,October,United States Production,31
Eagle Ford,2022,October,United States Production,1034.816924
Bakken,2022,October,United States Production,1108
Alaska North Slope,2022,October,United States Production,432.962818
West Texas Sour,2022,November,United States Production,894.932635
West Texas Light,2022,November,United States Production,650.22872
West Texas Intermediate (Midland),2022,November,United States Production,2660.685008
West Texas Intermediate,2022,November,United States Production,1823.326909
Total,2022,November,United States Production,12467
Thunder Horse,2022,November,United States Production,131
Southern Green Canyon,2022,November,United States Production,168
Poseidon,2022,November,United States Production,204
Other Crudes - United States,2022,November,United States Production,2996.715238
Mars Blend,2022,November,United States Production,231.688134
Light Louisiana Sweet,2022,November,United States Production,44
Hoops Blend,2022,November,United States Production,72
Heavy Louisiana Sweet,2022,November,United States Production,31
Eagle Ford,2022,November,United States Production,1039.463993
Bakken,2022,November,United States Production,1088
Alaska North Slope,2022,November,United States Production,431.959363
West Texas Sour,2022,December,United States Production,898.960714
West Texas Light,2022,December,United States Production,663.85688
West Texas Intermediate (Midland),2022,December,United States Production,2679.173014
West Texas Intermediate,2022,December,United States Production,1850.921939
Total,2022,December,United States Production,12175
Thunder Horse,2022,December,United States Production,131
Southern Green Canyon,2022,December,United States Production,168
Poseidon,2022,December,United States Production,204
Other Crudes - United States,2022,December,United States Production,2774.885188
Mars Blend,2022,December,United States Production,232.1121
Light Louisiana Sweet,2022,December,United States Production,43
Hoops Blend,2022,December,United States Production,72
Heavy Louisiana Sweet,2022,December,United States Production,32
Eagle Ford,2022,December,United States Production,1044.13193
Bakken,2022,December,United States Production,950
Alaska North Slope,2022,December,United States Production,430.958235
West Texas Sour,2021,January,United States Production,804.87321
West Texas Light,2021,January,United States Production,480.915737
West Texas Intermediate (Midland),2021,January,United States Production,2312.939016
West Texas Intermediate,2021,January,United States Production,1500.865817
Total,2021,January,United States Production,11152
Thunder Horse,2021,January,United States Production,124.057967
Southern Green Canyon,2021,January,United States Production,162.21041
Poseidon,2021,January,United States Production,193.927781
Other Crudes - United States,2021,January,United States Production,2549.09696
Mars Blend,2021,January,United States Production,240.194817
Light Louisiana Sweet,2021,January,United States Production,41
Hoops Blend,2021,January,United States Production,71
Heavy Louisiana Sweet,2021,January,United States Production,36
Eagle Ford,2021,January,United States Production,1040.011673
Bakken,2021,January,United States Production,1135
Alaska North Slope,2021,January,United States Production,459.906612
West Texas Sour,2021,February,United States Production,810.810329
West Texas Light,2021,February,United States Production,484.479383
West Texas Intermediate (Midland),2021,February,United States Production,2329.123135
West Texas Intermediate,2021,February,United States Production,1494.844534
Total,2021,February,United States Production,9938
Thunder Horse,2021,February,United States Production,124.833207
Southern Green Canyon,2021,February,United States Production,162.464865
Poseidon,2021,February,United States Production,195.173517
Other Crudes - United States,2021,February,United States Production,1392.481923
Mars Blend,2021,February,United States Production,238.464828
Light Louisiana Sweet,2021,February,United States Production,42
Hoops Blend,2021,February,United States Production,71
Heavy Louisiana Sweet,2021,February,United States Production,35
Eagle Ford,2021,February,United States Production,1022.048709
Bakken,2021,February,United States Production,1072
Alaska North Slope,2021,February,United States Production,463.275569
West Texas Sour,2021,March,United States Production,816.791244
West Texas Light,2021,March,United States Production,488.069436
West Texas Intermediate (Midland),2021,March,United States Production,2345.420498
West Texas Intermediate,2021,March,United States Production,1488.847407
Total,2021,March,United States Production,11372
Thunder Horse,2021,March,United States Production,125.613291
Southern Green Canyon,2021,March,United States Production,162.719719
Poseidon,2021,March,United States Production,196.427256
Other Crudes - United States,2021,March,United States Production,2797.298645
Mars Blend,2021,March,United States Production,236.747299
Light Louisiana Sweet,2021,March,United States Production,42
Hoops Blend,2021,March,United States Production,71
Heavy Louisiana Sweet,2021,March,United States Production,33
Eagle Ford,2021,March,United States Production,1004.395999
Bakken,2021,March,United States Production,1097
Alaska North Slope,2021,March,United States Production,466.669205
West Texas Sour,2021,April,United States Production,822.816277
West Texas Light,2021,April,United States Production,491.686091
West Texas Intermediate (Midland),2021,April,United States Production,2361.831897
West Texas Intermediate,2021,April,United States Production,1482.87434
Total,2021,April,United States Production,11353
Thunder Horse,2021,April,United States Production,128.380333
Southern Green Canyon,2021,April,United States Production,162.974973
Poseidon,2021,April,United States Production,203
Other Crudes - United States,2021,April,United States Production,2751.258062
Mars Blend,2021,April,United States Production,235.042141
Light Louisiana Sweet,2021,April,United States Production,43
Hoops Blend,2021,April,United States Production,70
Heavy Louisiana Sweet,2021,April,United States Production,32
Eagle Ford,2021,April,United States Production,987.048185
Bakken,2021,April,United States Production,1111
Alaska North Slope,2021,April,United States Production,470.087701
West Texas Sour,2021,May,United States Production,828.885753
West Texas Light,2021,May,United States Production,495.329546
West Texas Intermediate (Midland),2021,May,United States Production,2378.35813
West Texas Intermediate,2021,May,United States Production,1476.925237
Total,2021,May,United States Production,11423
Thunder Horse,2021,May,United States Production,129.187628
Southern Green Canyon,2021,May,United States Production,163.230628
Poseidon,2021,May,United States Production,203.343207
Other Crudes - United States,2021,May,United States Production,2806.85937
Mars Blend,2021,May,United States Production,233.349264
Light Louisiana Sweet,2021,May,United States Production,44
Hoops Blend,2021,May,United States Production,70
Heavy Louisiana Sweet,2021,May,United States Production,31
Eagle Ford,2021,May,United States Production,970
Bakken,2021,May,United States Production,1119
Alaska North Slope,2021,May,United States Production,473.531238
West Texas Sour,2021,June,United States Production,835
West Texas Light,2021,June,United States Production,499
West Texas Intermediate (Midland),2021,June,United States Production,2395
West Texas Intermediate,2021,June,United States Production,1471
Total,2021,June,United States Production,11394
Thunder Horse,2021,June,United States Production,130
Southern Green Canyon,2021,June,United States Production,163.486683
Poseidon,2021,June,United States Production,203.686994
Other Crudes - United States,2021,June,United States Production,2766.205928
Mars Blend,2021,June,United States Production,231.668579
Light Louisiana Sweet,2021,June,United States Production,44
Hoops Blend,2021,June,United States Production,70
Heavy Louisiana Sweet,2021,June,United States Production,30
Eagle Ford,2021,June,United States Production,952.951815
Bakken,2021,June,United States Production,1125
Alaska North Slope,2021,June,United States Production,477
West Texas Sour,2021,July,United States Production,835
West Texas Light,2021,July,United States Production,499
West Texas Intermediate (Midland),2021,July,United States Production,2395
West Texas Intermediate,2021,July,United States Production,1471
Total,2021,July,United States Production,11416
Thunder Horse,2021,July,United States Production,130
Southern Green Canyon,2021,July,United States Production,163.74314
Poseidon,2021,July,United States Production,204.031363
Other Crudes - United States,2021,July,United States Production,2891.172669
Mars Blend,2021,July,United States Production,230
Light Louisiana Sweet,2021,July,United States Production,44
Hoops Blend,2021,July,United States Production,71
Heavy Louisiana Sweet,2021,July,United States Production,29
Eagle Ford,2021,July,United States Production,903.584066
Bakken,2021,July,United States Production,1069
Alaska North Slope,2021,July,United States Production,480.468762
West Texas Sour,2021,August,United States Production,835
West Texas Light,2021,August,United States Production,502.670454
West Texas Intermediate (Midland),2021,August,United States Production,2411.64187
West Texas Intermediate,2021,August,United States Production,1465.074763
Total,2021,August,United States Production,11314
Thunder Horse,2021,August,United States Production,130.812372
Southern Green Canyon,2021,August,United States Production,164
Poseidon,2021,August,United States Production,204.376313
Other Crudes - United States,2021,August,United States Production,2727.38099
Mars Blend,2021,August,United States Production,228.331421
Light Louisiana Sweet,2021,August,United States Production,45
Hoops Blend,2021,August,United States Production,70
Heavy Louisiana Sweet,2021,August,United States Production,28
Eagle Ford,2021,August,United States Production,919.749068
Bakken,2021,August,United States Production,1098
Alaska North Slope,2021,August,United States Production,483.962749
West Texas Sour,2021,September,United States Production,841.114247
West Texas Light,2021,September,United States Production,506.367906
West Texas Intermediate (Midland),2021,September,United States Production,2428.399378
West Texas Intermediate,2021,September,United States Production,1459.173394
Total,2021,September,United States Production,10957
Thunder Horse,2021,September,United States Production,131.62982
Southern Green Canyon,2021,September,United States Production,164
Poseidon,2021,September,United States Production,204.721847
Other Crudes - United States,2021,September,United States Production,2325.838597
Mars Blend,2021,September,United States Production,226.674946
Light Louisiana Sweet,2021,September,United States Production,45
Hoops Blend,2021,September,United States Production,70
Heavy Louisiana Sweet,2021,September,United States Production,27.394461
Eagle Ford,2021,September,United States Production,936.20326
Bakken,2021,September,United States Production,1103
Alaska North Slope,2021,September,United States Production,487.482144
West Texas Sour,2021,October,United States Production,847.273266
West Texas Light,2021,October,United States Production,510.092555
West Texas Intermediate (Midland),2021,October,United States Production,2445.273327
West Texas Intermediate,2021,October,United States Production,1453.295795
Total,2021,October,United States Production,11637
Thunder Horse,2021,October,United States Production,132.452376
Southern Green Canyon,2021,October,United States Production,164.25686
Poseidon,2021,October,United States Production,205.067965
Other Crudes - United States,2021,October,United States Production,2967.278419
Mars Blend,2021,October,United States Production,225.030489
Light Louisiana Sweet,2021,October,United States Production,45
Hoops Blend,2021,October,United States Production,70
Heavy Louisiana Sweet,2021,October,United States Production,27
Eagle Ford,2021,October,United States Production,952.951815
Bakken,2021,October,United States Production,1101
Alaska North Slope,2021,October,United States Production,491.027133
West Texas Sour,2021,November,United States Production,853.477384
West Texas Light,2021,November,United States Production,513.844601
West Texas Intermediate (Midland),2021,November,United States Production,2462.264526
West Texas Intermediate,2021,November,United States Production,1447.441871
Total,2021,November,United States Production,11867
Thunder Horse,2021,November,United States Production,133.280072
Southern Green Canyon,2021,November,United States Production,164.514121
Poseidon,2021,November,United States Production,205.414668
Other Crudes - United States,2021,November,United States Production,3104.766892
Mars Blend,2021,November,United States Production,223.397962
Light Louisiana Sweet,2021,November,United States Production,44
Hoops Blend,2021,November,United States Production,71
Heavy Louisiana Sweet,2021,November,United States Production,28
Eagle Ford,2021,November,United States Production,970
Bakken,2021,November,United States Production,1151
Alaska North Slope,2021,November,United States Production,494.597901
West Texas Sour,2021,December,United States Production,859.726931
West Texas Light,2021,December,United States Production,517.624246
West Texas Intermediate (Midland),2021,December,United States Production,2479.37379
West Texas Intermediate,2021,December,United States Production,1441.611527
Total,2021,December,United States Production,11752
Thunder Horse,2021,December,United States Production,134.112941
Southern Green Canyon,2021,December,United States Production,164.771786
Poseidon,2021,December,United States Production,205.761958
Other Crudes - United States,2021,December,United States Production,2962.996721
Mars Blend,2021,December,United States Production,221.777279
Light Louisiana Sweet,2021,December,United States Production,44
Hoops Blend,2021,December,United States Production,71
Heavy Louisiana Sweet,2021,December,United States Production,29
Eagle Ford,2021,December,United States Production,987.048185
Bakken,2021,December,United States Production,1135
Alaska North Slope,2021,December,United States Production,498.194636
West Texas Sour,2020,January,United States Production,756.645765
West Texas Light,2020,January,United States Production,476.148169
West Texas Intermediate (Midland),2020,January,United States Production,2021.906113
West Texas Intermediate,2020,January,United States Production,1572.732654
Total,2020,January,United States Production,12850
Thunder Horse,2020,January,United States Production,132.088767
Southern Green Canyon,2020,January,United States Production,166.25968
Poseidon,2020,January,United States Production,205.474239
Other Crudes - United States,2020,January,United States Production,3983.409558
Mars Blend,2020,January,United States Production,259.094864
Light Louisiana Sweet,2020,January,United States Production,47.126704
Hoops Blend,2020,January,United States Production,73
Heavy Louisiana Sweet,2020,January,United States Production,41
Eagle Ford,2020,January,United States Production,1240.422067
Bakken,2020,January,United States Production,1413
Alaska North Slope,2020,January,United States Production,461.69142
West Texas Sour,2020,February,United States Production,759.051924
West Texas Light,2020,February,United States Production,472.87381
West Texas Intermediate (Midland),2020,February,United States Production,1977.464645
West Texas Intermediate,2020,February,United States Production,1567.907013
Total,2020,February,United States Production,12844
Thunder Horse,2020,February,United States Production,131.263342
Southern Green Canyon,2020,February,United States Production,165.194174
Poseidon,2020,February,United States Production,204.162756
Other Crudes - United States,2020,February,United States Production,4019.58374
Mars Blend,2020,February,United States Production,257.455271
Light Louisiana Sweet,2020,February,United States Production,46.484074
Hoops Blend,2020,February,United States Production,72
Heavy Louisiana Sweet,2020,February,United States Production,41
Eagle Ford,2020,February,United States Production,1232.230165
Bakken,2020,February,United States Production,1438
Alaska North Slope,2020,February,United States Production,459.329085
West Texas Sour,2020,March,United States Production,761.465735
West Texas Light,2020,March,United States Production,469.621968
West Texas Intermediate (Midland),2020,March,United States Production,1934
West Texas Intermediate,2020,March,United States Production,1563.096178
Total,2020,March,United States Production,12795
Thunder Horse,2020,March,United States Production,130.443076
Southern Green Canyon,2020,March,United States Production,164.135497
Poseidon,2020,March,United States Production,202.859644
Other Crudes - United States,2020,March,United States Production,4053.63044
Mars Blend,2020,March,United States Production,255.826054
Light Louisiana Sweet,2020,March,United States Production,45.850208
Hoops Blend,2020,March,United States Production,72
Heavy Louisiana Sweet,2020,March,United States Production,40
Eagle Ford,2020,March,United States Production,1224.092364
Bakken,2020,March,United States Production,1421
Alaska North Slope,2020,March,United States Production,456.978837
West Texas Sour,2020,April,United States Production,763.887222
West Texas Light,2020,April,United States Production,466.392488
West Texas Intermediate (Midland),2020,April,United States Production,1890.535355
West Texas Intermediate,2020,April,United States Production,1558.300105
Total,2020,April,United States Production,11911
Thunder Horse,2020,April,United States Production,129.627936
Southern Green Canyon,2020,April,United States Production,163.083604
Poseidon,2020,April,United States Production,201.564849
Other Crudes - United States,2020,April,United States Production,3446.52739
Mars Blend,2020,April,United States Production,254.207146
Light Louisiana Sweet,2020,April,United States Production,45.224985
Hoops Blend,2020,April,United States Production,71
Heavy Louisiana Sweet,2020,April,United States Production,40
Eagle Ford,2020,April,United States Production,1216.008305
Bakken,2020,April,United States Production,1210
Alaska North Slope,2020,April,United States Production,454.640614
West Texas Sour,2020,May,United States Production,766.31641
West Texas Light,2020,May,United States Production,463.185216
West Texas Intermediate (Midland),2020,May,United States Production,1848.047533
West Texas Intermediate,2020,May,United States Production,1553.518748
Total,2020,May,United States Production,9714
Thunder Horse,2020,May,United States Production,128.817889
Southern Green Canyon,2020,May,United States Production,162.038453
Poseidon,2020,May,United States Production,200.278319
Other Crudes - United States,2020,May,United States Production,1672.298671
Mars Blend,2020,May,United States Production,252.598483
Light Louisiana Sweet,2020,May,United States Production,44.608288
Hoops Blend,2020,May,United States Production,71
Heavy Louisiana Sweet,2020,May,United States Production,40
Eagle Ford,2020,May,United States Production,1207.977635
Bakken,2020,May,United States Production,851
Alaska North Slope,2020,May,United States Production,452.314356
West Texas Sour,2020,June,United States Production,768.753322
West Texas Light,2020,June,United States Production,460
West Texas Intermediate (Midland),2020,June,United States Production,1806.514581
West Texas Intermediate,2020,June,United States Production,1544
Total,2020,June,United States Production,10446
Thunder Horse,2020,June,United States Production,128.012905
Southern Green Canyon,2020,June,United States Production,161
Poseidon,2020,June,United States Production,199
Other Crudes - United States,2020,June,United States Production,2439.719193
Mars Blend,2020,June,United States Production,251
Light Louisiana Sweet,2020,June,United States Production,44
Hoops Blend,2020,June,United States Production,70
Heavy Louisiana Sweet,2020,June,United States Production,39
Eagle Ford,2020,June,United States Production,1200
Bakken,2020,June,United States Production,885
Alaska North Slope,2020,June,United States Production,450
West Texas Sour,2020,July,United States Production,770
West Texas Light,2020,July,United States Production,460
West Texas Intermediate (Midland),2020,July,United States Production,1848.047533
West Texas Intermediate,2020,July,United States Production,1539.26252
Total,2020,July,United States Production,11008
Thunder Horse,2020,July,United States Production,127.212951
Southern Green Canyon,2020,July,United States Production,161
Poseidon,2020,July,United States Production,199
Other Crudes - United States,2020,July,United States Production,2819.39964
Mars Blend,2020,July,United States Production,251
Light Louisiana Sweet,2020,July,United States Production,43.391712
Hoops Blend,2020,July,United States Production,71
Heavy Louisiana Sweet,2020,July,United States Production,38
Eagle Ford,2020,July,United States Production,1200
Bakken,2020,July,United States Production,1033
Alaska North Slope,2020,July,United States Production,447.685644
West Texas Sour,2020,August,United States Production,772.448626
West Texas Light,2020,August,United States Production,456.814784
West Texas Intermediate (Midland),2020,August,United States Production,1890.535355
West Texas Intermediate,2020,August,United States Production,1534.539576
Total,2020,August,United States Production,10585
Thunder Horse,2020,August,United States Production,126.417996
Southern Green Canyon,2020,August,United States Production,159.961547
Poseidon,2020,August,United States Production,197.721681
Other Crudes - United States,2020,August,United States Production,2248.363045
Mars Blend,2020,August,United States Production,253
Light Louisiana Sweet,2020,August,United States Production,42.791834
Hoops Blend,2020,August,United States Production,71
Heavy Louisiana Sweet,2020,August,United States Production,39
Eagle Ford,2020,August,United States Production,1192.022365
Bakken,2020,August,United States Production,1155
Alaska North Slope,2020,August,United States Production,445.383191
West Texas Sour,2020,September,United States Production,774.905039
West Texas Light,2020,September,United States Production,453.651624
West Texas Intermediate (Midland),2020,September,United States Production,1934
West Texas Intermediate,2020,September,United States Production,1529.831123
Total,2020,September,United States Production,10934
Thunder Horse,2020,September,United States Production,125.628008
Southern Green Canyon,2020,September,United States Production,158.929792
Poseidon,2020,September,United States Production,196.451574
Other Crudes - United States,2020,September,United States Production,2522.212246
Mars Blend,2020,September,United States Production,251
Light Louisiana Sweet,2020,September,United States Production,42.200249
Hoops Blend,2020,September,United States Production,70
Heavy Louisiana Sweet,2020,September,United States Production,38
Eagle Ford,2020,September,United States Production,1184.097766
Bakken,2020,September,United States Production,1210
Alaska North Slope,2020,September,United States Production,443.09258
West Texas Sour,2020,October,United States Production,777.369263
West Texas Light,2020,October,United States Production,450.510366
West Texas Intermediate (Midland),2020,October,United States Production,1977.464645
West Texas Intermediate,2020,October,United States Production,1525.137118
Total,2020,October,United States Production,10469
Thunder Horse,2020,October,United States Production,124.842957
Southern Green Canyon,2020,October,United States Production,157.904691
Poseidon,2020,October,United States Production,195.189625
Other Crudes - United States,2020,October,United States Production,2026.523377
Mars Blend,2020,October,United States Production,249.401517
Light Louisiana Sweet,2020,October,United States Production,41.616842
Hoops Blend,2020,October,United States Production,70
Heavy Louisiana Sweet,2020,October,United States Production,39
Eagle Ford,2020,October,United States Production,1176.225849
Bakken,2020,October,United States Production,1217
Alaska North Slope,2020,October,United States Production,440.813749
West Texas Sour,2020,November,United States Production,779.841324
West Texas Light,2020,November,United States Production,447.39086
West Texas Intermediate (Midland),2020,November,United States Production,2021.906113
West Texas Intermediate,2020,November,United States Production,1520.457515
Total,2020,November,United States Production,11210
Thunder Horse,2020,November,United States Production,124.062812
Southern Green Canyon,2020,November,United States Production,156.886203
Poseidon,2020,November,United States Production,193.935783
Other Crudes - United States,2020,November,United States Production,2747.711772
Mars Blend,2020,November,United States Production,247.813214
Light Louisiana Sweet,2020,November,United States Production,41.041501
Hoops Blend,2020,November,United States Production,70
Heavy Louisiana Sweet,2020,November,United States Production,39
Eagle Ford,2020,November,United States Production,1168.406266
Bakken,2020,November,United States Production,1213
Alaska North Slope,2020,November,United States Production,438.546638
West Texas Sour,2020,December,United States Production,782.321246
West Texas Light,2020,December,United States Production,444.292955
West Texas Intermediate (Midland),2020,December,United States Production,2067.346356
West Texas Intermediate,2020,December,United States Production,1515.79227
Total,2020,December,United States Production,11179
Thunder Horse,2020,December,United States Production,123.287542
Southern Green Canyon,2020,December,United States Production,155.874284
Poseidon,2020,December,United States Production,192.689996
Other Crudes - United States,2020,December,United States Production,2726.599788
Mars Blend,2020,December,United States Production,246.235026
Light Louisiana Sweet,2020,December,United States Production,40.474113
Hoops Blend,2020,December,United States Production,71
Heavy Louisiana Sweet,2020,December,United States Production,38.15657
Eagle Ford,2020,December,United States Production,1160.638667
Bakken,2020,December,United States Production,1178
Alaska North Slope,2020,December,United States Production,436.291187
West Texas Sour,2019,January,United States Production,848.528137
West Texas Light,2019,January,United States Production,482.927125
West Texas Intermediate (Midland),2019,January,United States Production,1902.61329
West Texas Intermediate,2019,January,United States Production,1626.728497
Total,2019,January,United States Production,11873
Thunder Horse,2019,January,United States Production,144.353732
Southern Green Canyon,2019,January,United States Production,168.760881
Poseidon,2019,January,United States Production,215
Other Crudes - United States,2019,January,United States Production,2832.815878
Mars Blend,2019,January,United States Production,264.162258
Light Louisiana Sweet,2019,January,United States Production,57
Hoops Blend,2019,January,United States Production,74
Heavy Louisiana Sweet,2019,January,United States Production,40
Eagle Ford,2019,January,United States Production,1310.342343
Bakken,2019,January,United States Production,1385
Alaska North Slope,2019,January,United States Production,520.767857
West Texas Sour,2019,February,United States Production,840.240359
West Texas Light,2019,February,United States Production,486.294413
West Texas Intermediate (Midland),2019,February,United States Production,1936.650796
West Texas Intermediate,2019,February,United States Production,1621.752448
Total,2019,February,United States Production,11672
Thunder Horse,2019,February,United States Production,143.274817
Southern Green Canyon,2019,February,United States Production,169.740632
Poseidon,2019,February,United States Production,214
Other Crudes - United States,2019,February,United States Production,2679.584261
Mars Blend,2019,February,United States Production,265.855346
Light Louisiana Sweet,2019,February,United States Production,55
Hoops Blend,2019,February,United States Production,75
Heavy Louisiana Sweet,2019,February,United States Production,40
Eagle Ford,2019,February,United States Production,1308.267313
Bakken,2019,February,United States Production,1320
Alaska North Slope,2019,February,United States Production,516.339614
West Texas Sour,2019,March,United States Production,832.033529
West Texas Light,2019,March,United States Production,489.685181
West Texas Intermediate (Midland),2019,March,United States Production,1971.297229
West Texas Intermediate,2019,March,United States Production,1616.79162
Total,2019,March,United States Production,11911
Thunder Horse,2019,March,United States Production,142.203965
Southern Green Canyon,2019,March,United States Production,170.726071
Poseidon,2019,March,United States Production,214
Other Crudes - United States,2019,March,United States Production,2841.558524
Mars Blend,2019,March,United States Production,267.559287
Light Louisiana Sweet,2019,March,United States Production,54
Hoops Blend,2019,March,United States Production,75
Heavy Louisiana Sweet,2019,March,United States Production,41
Eagle Ford,2019,March,United States Production,1306.195569
Bakken,2019,March,United States Production,1377
Alaska North Slope,2019,March,United States Production,511.949026
West Texas Sour,2019,April,United States Production,823.906858
West Texas Light,2019,April,United States Production,493.099591
West Texas Intermediate (Midland),2019,April,United States Production,2006.563482
West Texas Intermediate,2019,April,United States Production,1611.845967
Total,2019,April,United States Production,12145
Thunder Horse,2019,April,United States Production,141.141117
Southern Green Canyon,2019,April,United States Production,171.717231
Poseidon,2019,April,United States Production,215
Other Crudes - United States,2019,April,United States Production,3056.086469
Mars Blend,2019,April,United States Production,269.274148
Light Louisiana Sweet,2019,April,United States Production,52.642261
Hoops Blend,2019,April,United States Production,76
Heavy Louisiana Sweet,2019,April,United States Production,42
Eagle Ford,2019,April,United States Production,1304.127105
Bakken,2019,April,United States Production,1374
Alaska North Slope,2019,April,United States Production,507.595772
West Texas Sour,2019,May,United States Production,815.859561
West Texas Light,2019,May,United States Production,496.537809
West Texas Intermediate (Midland),2019,May,United States Production,2042.460643
West Texas Intermediate,2019,May,United States Production,1606.915442
Total,2019,May,United States Production,12153
Thunder Horse,2019,May,United States Production,140.086213
Southern Green Canyon,2019,May,United States Production,172.714144
Poseidon,2019,May,United States Production,215
Other Crudes - United States,2019,May,United States Production,3039.76459
Mars Blend,2019,May,United States Production,271
Light Louisiana Sweet,2019,May,United States Production,52.320145
Hoops Blend,2019,May,United States Production,76
Heavy Louisiana Sweet,2019,May,United States Production,43
Eagle Ford,2019,May,United States Production,1302.061918
Bakken,2019,May,United States Production,1376
Alaska North Slope,2019,May,United States Production,503.279535
West Texas Sour,2019,June,United States Production,800
West Texas Light,2019,June,United States Production,500
West Texas Intermediate (Midland),2019,June,United States Production,2079
West Texas Intermediate,2019,June,United States Production,1602
Total,2019,June,United States Production,12221
Thunder Horse,2019,June,United States Production,138
Southern Green Canyon,2019,June,United States Production,173.716846
Poseidon,2019,June,United States Production,215
Other Crudes - United States,2019,June,United States Production,3067.283154
Mars Blend,2019,June,United States Production,271
Light Louisiana Sweet,2019,June,United States Production,52
Hoops Blend,2019,June,United States Production,76
Heavy Louisiana Sweet,2019,June,United States Production,41
Eagle Ford,2019,June,United States Production,1300
Bakken,2019,June,United States Production,1407
Alaska North Slope,2019,June,United States Production,499
West Texas Sour,2019,July,United States Production,792.186208
West Texas Light,2019,July,United States Production,500
West Texas Intermediate (Midland),2019,July,United States Production,2077
West Texas Intermediate,2019,July,United States Production,1602
Total,2019,July,United States Production,11902
Thunder Horse,2019,July,United States Production,138
Southern Green Canyon,2019,July,United States Production,174.725369
Poseidon,2019,July,United States Production,216
Other Crudes - United States,2019,July,United States Production,2741.024169
Mars Blend,2019,July,United States Production,272.725852
Light Louisiana Sweet,2019,July,United States Production,51.679855
Hoops Blend,2019,July,United States Production,75
Heavy Louisiana Sweet,2019,July,United States Production,40
Eagle Ford,2019,July,United States Production,1297.938082
Bakken,2019,July,United States Production,1429
Alaska North Slope,2019,July,United States Production,494.720465
West Texas Sour,2019,August,United States Production,784.448734
West Texas Light,2019,August,United States Production,503.462191
West Texas Intermediate (Midland),2019,August,United States Production,2113.504206
West Texas Intermediate,2019,August,United States Production,1597.084558
Total,2019,August,United States Production,12485
Thunder Horse,2019,August,United States Production,136.968573
Southern Green Canyon,2019,August,United States Production,175.739747
Poseidon,2019,August,United States Production,216
Other Crudes - United States,2019,August,United States Production,3265.610547
Mars Blend,2019,August,United States Production,274.462695
Light Louisiana Sweet,2019,August,United States Production,51.361681
Hoops Blend,2019,August,United States Production,76
Heavy Louisiana Sweet,2019,August,United States Production,42
Eagle Ford,2019,August,United States Production,1295.879435
Bakken,2019,August,United States Production,1462
Alaska North Slope,2019,August,United States Production,490.477633
West Texas Sour,2019,September,United States Production,776.786835
West Texas Light,2019,September,United States Production,506.948356
West Texas Intermediate (Midland),2019,September,United States Production,2150.64999
West Texas Intermediate,2019,September,United States Production,1592.184197
Total,2019,September,United States Production,12589
Thunder Horse,2019,September,United States Production,135.944855
Southern Green Canyon,2019,September,United States Production,176.760014
Poseidon,2019,September,United States Production,216
Other Crudes - United States,2019,September,United States Production,3384.630512
Mars Blend,2019,September,United States Production,273
Light Louisiana Sweet,2019,September,United States Production,50
Hoops Blend,2019,September,United States Production,77
Heavy Louisiana Sweet,2019,September,United States Production,43
Eagle Ford,2019,September,United States Production,1293.824053
Bakken,2019,September,United States Production,1426
Alaska North Slope,2019,September,United States Production,486.271188
West Texas Sour,2019,October,United States Production,769.199771
West Texas Light,2019,October,United States Production,510.458661
West Texas Intermediate (Midland),2019,October,United States Production,2188.448628
West Texas Intermediate,2019,October,United States Production,1587.298873
Total,2019,October,United States Production,12805
Thunder Horse,2019,October,United States Production,134.928789
Southern Green Canyon,2019,October,United States Production,177.786204
Poseidon,2019,October,United States Production,215
Other Crudes - United States,2019,October,United States Production,3511.314158
Mars Blend,2019,October,United States Production,271
Light Louisiana Sweet,2019,October,United States Production,49.692168
Hoops Blend,2019,October,United States Production,76
Heavy Louisiana Sweet,2019,October,United States Production,42
