Country,Year of Date,Month of Date,Unit,Value
United Kingdom,2023,April,Million Cubic Meter,10379.603735
Sweden,2023,April,Million Cubic Meter,97.590082
Spain,2023,April,Million Cubic Meter,2772
Slovenia,2023,April,Million Cubic Meter,144.504215
Slovakia,2023,April,Million Cubic Meter,782.12299
Serbia,2023,April,Million Cubic Meter,516
Romania,2023,April,Million Cubic Meter,774.623349
Portugal,2023,April,Million Cubic Meter,907.047619
Poland,2023,April,Million Cubic Meter,1614.120731
Netherlands,2023,April,Million Cubic Meter,2429
Luxembourg,2023,April,Million Cubic Meter,56.132435
Italy,2023,April,Million Cubic Meter,4414.604431
Hungary,2023,April,Million Cubic Meter,1542.951443
Greece,2023,April,Million Cubic Meter,369.638966
Germany,2023,April,Million Cubic Meter,6754
France,2023,April,Million Cubic Meter,2906
Finland,2023,April,Million Cubic Meter,169.024
Denmark,2023,April,Million Cubic Meter,493.27202
Czech Republic,2023,April,Million Cubic Meter,1264.359678
Croatia,2023,April,Million Cubic Meter,407.322872
Bulgaria,2023,April,Million Cubic Meter,472.102797
Belgium,2023,April,Million Cubic Meter,1159.856552
Austria,2023,April,Million Cubic Meter,1436.288322
United Kingdom,2023,May,Million Cubic Meter,7350.227617
Sweden,2023,May,Million Cubic Meter,105.96445
Spain,2023,May,Million Cubic Meter,2656
Slovenia,2023,May,Million Cubic Meter,122.711528
Slovakia,2023,May,Million Cubic Meter,549.517993
Serbia,2023,May,Million Cubic Meter,292
Romania,2023,May,Million Cubic Meter,489.068707
Portugal,2023,May,Million Cubic Meter,983.904762
Poland,2023,May,Million Cubic Meter,1202.036672
Netherlands,2023,May,Million Cubic Meter,1895
Luxembourg,2023,May,Million Cubic Meter,37.964783
Italy,2023,May,Million Cubic Meter,3680.176635
Hungary,2023,May,Million Cubic Meter,1008.704454
Greece,2023,May,Million Cubic Meter,303.441024
Germany,2023,May,Million Cubic Meter,4591
France,2023,May,Million Cubic Meter,1808
Finland,2023,May,Million Cubic Meter,279.383999
Denmark,2023,May,Million Cubic Meter,406.413669
Czech Republic,2023,May,Million Cubic Meter,759.629587
Croatia,2023,May,Million Cubic Meter,292.992389
Bulgaria,2023,May,Million Cubic Meter,316.567356
Belgium,2023,May,Million Cubic Meter,812.51152
Austria,2023,May,Million Cubic Meter,975.640147
United Kingdom,2023,June,Million Cubic Meter,6068.111208
Sweden,2023,June,Million Cubic Meter,99.820346
Spain,2023,June,Million Cubic Meter,2622
Slovenia,2023,June,Million Cubic Meter,103.728198
Slovakia,2023,June,Million Cubic Meter,438.368381
Serbia,2023,June,Million Cubic Meter,266
Romania,2023,June,Million Cubic Meter,355.747302
Portugal,2023,June,Million Cubic Meter,1098.380953
Poland,2023,June,Million Cubic Meter,1085.419207
Netherlands,2023,June,Million Cubic Meter,1868
Luxembourg,2023,June,Million Cubic Meter,27.113725
Italy,2023,June,Million Cubic Meter,3510.766663
Hungary,2023,June,Million Cubic Meter,852.732683
Greece,2023,June,Million Cubic Meter,406.748819
Germany,2023,June,Million Cubic Meter,3649
France,2023,June,Million Cubic Meter,1525
Finland,2023,June,Million Cubic Meter,199.824
Denmark,2023,June,Million Cubic Meter,388.86719
Czech Republic,2023,June,Million Cubic Meter,702.920545
Croatia,2023,June,Million Cubic Meter,239.900276
Bulgaria,2023,June,Million Cubic Meter,297.257994
Belgium,2023,June,Million Cubic Meter,745.046555
Austria,2023,June,Million Cubic Meter,674.810277
United Kingdom,2023,July,Million Cubic Meter,5732.496765
Sweden,2023,July,Million Cubic Meter,95.93611
Spain,2023,July,Million Cubic Meter,2563
Slovenia,2023,July,Million Cubic Meter,93.231568
Slovakia,2023,July,Million Cubic Meter,410.471981
Serbia,2023,July,Million Cubic Meter,276
Romania,2023,July,Million Cubic Meter,509.800877
Portugal,2023,July,Million Cubic Meter,1158.285715
Poland,2023,July,Million Cubic Meter,1083.200796
Netherlands,2023,July,Million Cubic Meter,1720
Luxembourg,2023,July,Million Cubic Meter,28.060825
Italy,2023,July,Million Cubic Meter,4147.687439
Hungary,2023,July,Million Cubic Meter,903.948472
Greece,2023,July,Million Cubic Meter,504.04533
Germany,2023,July,Million Cubic Meter,3537
France,2023,July,Million Cubic Meter,1471
Finland,2023,July,Million Cubic Meter,225.503999
Denmark,2023,July,Million Cubic Meter,387.60239
Czech Republic,2023,July,Million Cubic Meter,633.840901
Croatia,2023,July,Million Cubic Meter,327.208449
Bulgaria,2023,July,Million Cubic Meter,360.888689
Belgium,2023,July,Million Cubic Meter,690.638444
Austria,2023,July,Million Cubic Meter,692.20608
United Kingdom,2023,August,Million Cubic Meter,6231.842764
Sweden,2023,August,Million Cubic Meter,101.909632
Spain,2023,August,Million Cubic Meter,2412
Slovenia,2023,August,Million Cubic Meter,84.415952
Slovakia,2023,August,Million Cubic Meter,350.30987
Serbia,2023,August,Million Cubic Meter,278
Romania,2023,August,Million Cubic Meter,502.321231
Portugal,2023,August,Million Cubic Meter,1030.666668
Poland,2023,August,Million Cubic Meter,1154.303079
Netherlands,2023,August,Million Cubic Meter,1920
Luxembourg,2023,August,Million Cubic Meter,25.14501
Italy,2023,August,Million Cubic Meter,3209.904175
Hungary,2023,August,Million Cubic Meter,830.080196
Greece,2023,August,Million Cubic Meter,439.496839
Germany,2023,August,Million Cubic Meter,3696
France,2023,August,Million Cubic Meter,1358
Finland,2023,August,Million Cubic Meter,273.72749
Denmark,2023,August,Million Cubic Meter,423.20248
Czech Republic,2023,August,Million Cubic Meter,626.428686
Croatia,2023,August,Million Cubic Meter,324.538968
Bulgaria,2023,August,Million Cubic Meter,337.305796
Belgium,2023,August,Million Cubic Meter,733.452194
Austria,2023,August,Million Cubic Meter,635.81023
United Kingdom,2023,September,Million Cubic Meter,6230.291023
Sweden,2023,September,Million Cubic Meter,128.711869
Spain,2023,September,Million Cubic Meter,2661
Slovenia,2023,September,Million Cubic Meter,96.293451
Slovakia,2023,September,Million Cubic Meter,346.470686
Serbia,2023,September,Million Cubic Meter,276
Romania,2023,September,Million Cubic Meter,532.11686
Portugal,2023,September,Million Cubic Meter,1115.333334
Poland,2023,September,Million Cubic Meter,1005.314592
Netherlands,2023,September,Million Cubic Meter,1963
Luxembourg,2023,September,Million Cubic Meter,6.332043
Italy,2023,September,Million Cubic Meter,3894.545776
Hungary,2023,September,Million Cubic Meter,859.113198
Greece,2023,September,Million Cubic Meter,422.347758
Germany,2023,September,Million Cubic Meter,3703
France,2023,September,Million Cubic Meter,1490
Finland,2023,September,Million Cubic Meter,235.316773
Denmark,2023,September,Million Cubic Meter,378.026295
Czech Republic,2023,September,Million Cubic Meter,670.040135
Croatia,2023,September,Million Cubic Meter,344.183457
Bulgaria,2023,September,Million Cubic Meter,367.662737
Belgium,2023,September,Million Cubic Meter,748.495865
Austria,2023,September,Million Cubic Meter,821.166461
United Kingdom,2023,October,Million Cubic Meter,8447.084294
Sweden,2023,October,Million Cubic Meter,127.429905
Spain,2023,October,Million Cubic Meter,2740
Slovenia,2023,October,Million Cubic Meter,120.249241
Slovakia,2023,October,Million Cubic Meter,607.97827
Serbia,2023,October,Million Cubic Meter,389.374393
Romania,2023,October,Million Cubic Meter,748.740453
Portugal,2023,October,Million Cubic Meter,926.000001
Poland,2023,October,Million Cubic Meter,1530.829116
Netherlands,2023,October,Million Cubic Meter,2155
Luxembourg,2023,October,Million Cubic Meter,41.342099
Italy,2023,October,Million Cubic Meter,4149.155151
Hungary,2023,October,Million Cubic Meter,1269.401974
Greece,2023,October,Million Cubic Meter,410.253692
Germany,2023,October,Million Cubic Meter,5615
France,2023,October,Million Cubic Meter,2100
Finland,2023,October,Million Cubic Meter,450.976
Denmark,2023,October,Million Cubic Meter,535.863535
Czech Republic,2023,October,Million Cubic Meter,997.141947
Croatia,2023,October,Million Cubic Meter,407.675205
Bulgaria,2023,October,Million Cubic Meter,386.72183
Belgium,2023,October,Million Cubic Meter,915.55719
Austria,2023,October,Million Cubic Meter,1130.628752
United Kingdom,2023,November,Million Cubic Meter,12895.421618
Sweden,2023,November,Million Cubic Meter,165.269429
Spain,2023,November,Million Cubic Meter,3165
Slovenia,2023,November,Million Cubic Meter,173.04419
Slovakia,2023,November,Million Cubic Meter,962.309619
Serbia,2023,November,Million Cubic Meter,696
Romania,2023,November,Million Cubic Meter,1233.764713
Portugal,2023,November,Million Cubic Meter,961.04762
Poland,2023,November,Million Cubic Meter,2139.996928
Netherlands,2023,November,Million Cubic Meter,2884
Luxembourg,2023,November,Million Cubic Meter,71.267101
Italy,2023,November,Million Cubic Meter,5560.676391
Hungary,2023,November,Million Cubic Meter,2013.109334
Greece,2023,November,Million Cubic Meter,349.875168
Germany,2023,November,Million Cubic Meter,8577
France,2023,November,Million Cubic Meter,3778
Finland,2023,November,Million Cubic Meter,311.104974
Denmark,2023,November,Million Cubic Meter,706.417642
Czech Republic,2023,November,Million Cubic Meter,1518.215619
Croatia,2023,November,Million Cubic Meter,582.769076
Bulgaria,2023,November,Million Cubic Meter,541.831319
Belgium,2023,November,Million Cubic Meter,1350.64914
Austria,2023,November,Million Cubic Meter,1701.63032
United Kingdom,2023,December,Million Cubic Meter,13819.042667
Sweden,2023,December,Million Cubic Meter,183.784857
Spain,2023,December,Million Cubic Meter,3867
Slovenia,2023,December,Million Cubic Meter,202.916917
Slovakia,2023,December,Million Cubic Meter,1218.506667
Serbia,2023,December,Million Cubic Meter,828
Romania,2023,December,Million Cubic Meter,1582.66985
Portugal,2023,December,Million Cubic Meter,991.047619
Poland,2023,December,Million Cubic Meter,2447.308837
Netherlands,2023,December,Million Cubic Meter,3392
Luxembourg,2023,December,Million Cubic Meter,77.659183
Italy,2023,December,Million Cubic Meter,7064.727295
Hungary,2023,December,Million Cubic Meter,2514.892274
Greece,2023,December,Million Cubic Meter,463.665769
Germany,2023,December,Million Cubic Meter,9876
France,2023,December,Million Cubic Meter,4441
Finland,2023,December,Million Cubic Meter,377.237961
Denmark,2023,December,Million Cubic Meter,783.188
Czech Republic,2023,December,Million Cubic Meter,1833.710381
Croatia,2023,December,Million Cubic Meter,543.536195
Bulgaria,2023,December,Million Cubic Meter,628.592947
Belgium,2023,December,Million Cubic Meter,1511.525925
Austria,2023,December,Million Cubic Meter,2077.551275
United Kingdom,2022,January,Million Cubic Meter,18014.736993
Sweden,2022,January,Million Cubic Meter,204.346
Spain,2022,January,Million Cubic Meter,5217
Slovenia,2022,January,Million Cubic Meter,244.509149
Slovakia,2022,January,Million Cubic Meter,1469.685867
Serbia,2022,January,Million Cubic Meter,877.434214
Romania,2022,January,Million Cubic Meter,1757.539009
Portugal,2022,January,Million Cubic Meter,1377.506581
Poland,2022,January,Million Cubic Meter,2419.326391
Netherlands,2022,January,Million Cubic Meter,4258
Luxembourg,2022,January,Million Cubic Meter,108.822712
Italy,2022,January,Million Cubic Meter,9524.170899
Hungary,2022,January,Million Cubic Meter,3433.053718
Greece,2022,January,Million Cubic Meter,602.574811
Germany,2022,January,Million Cubic Meter,11845
France,2022,January,Million Cubic Meter,6163
Finland,2022,January,Million Cubic Meter,357.79
Denmark,2022,January,Million Cubic Meter,840.533641
Czech Republic,2022,January,Million Cubic Meter,2374.27744
Croatia,2022,January,Million Cubic Meter,651.939056
Bulgaria,2022,January,Million Cubic Meter,845.79834
Belgium,2022,January,Million Cubic Meter,2037.655914
Austria,2022,January,Million Cubic Meter,2759.69001
United Kingdom,2022,February,Million Cubic Meter,13529.874292
Sweden,2022,February,Million Cubic Meter,163.488
Spain,2022,February,Million Cubic Meter,4263
Slovenia,2022,February,Million Cubic Meter,195.171491
Slovakia,2022,February,Million Cubic Meter,1155.291638
Serbia,2022,February,Million Cubic Meter,694.000001
Romania,2022,February,Million Cubic Meter,1422.177339
Portugal,2022,February,Million Cubic Meter,1204.952381
Poland,2022,February,Million Cubic Meter,1987.648011
Netherlands,2022,February,Million Cubic Meter,3413
Luxembourg,2022,February,Million Cubic Meter,86.536647
Italy,2022,February,Million Cubic Meter,7569.671753
Hungary,2022,February,Million Cubic Meter,2680.470118
Greece,2022,February,Million Cubic Meter,521.521938
Germany,2022,February,Million Cubic Meter,9739
France,2022,February,Million Cubic Meter,4623
Finland,2022,February,Million Cubic Meter,299.789999
Denmark,2022,February,Million Cubic Meter,732.715181
Czech Republic,2022,February,Million Cubic Meter,2337.155842
Croatia,2022,February,Million Cubic Meter,587.28163
Bulgaria,2022,February,Million Cubic Meter,661.901712
Belgium,2022,February,Million Cubic Meter,1551.22554
Austria,2022,February,Million Cubic Meter,2228.095934
United Kingdom,2022,March,Million Cubic Meter,13771.504686
Sweden,2022,March,Million Cubic Meter,119.278
Spain,2022,March,Million Cubic Meter,4245
Slovenia,2022,March,Million Cubic Meter,202.884741
Slovakia,2022,March,Million Cubic Meter,1114.624838
Serbia,2022,March,Million Cubic Meter,746.982471
Romania,2022,March,Million Cubic Meter,1318.623095
Portugal,2022,March,Million Cubic Meter,1319.04762
Poland,2022,March,Million Cubic Meter,1956.524703
Netherlands,2022,March,Million Cubic Meter,3246
Luxembourg,2022,March,Million Cubic Meter,79.213218
Italy,2022,March,Million Cubic Meter,7716.453858
Hungary,2022,March,Million Cubic Meter,2607.83436
Greece,2022,March,Million Cubic Meter,660.833456
Germany,2022,March,Million Cubic Meter,9501
France,2022,March,Million Cubic Meter,4336
Finland,2022,March,Million Cubic Meter,324.67
Denmark,2022,March,Million Cubic Meter,742.822955
Czech Republic,2022,March,Million Cubic Meter,1924.781203
Croatia,2022,March,Million Cubic Meter,516.664556
Bulgaria,2022,March,Million Cubic Meter,720.634343
Belgium,2022,March,Million Cubic Meter,1410.495911
Austria,2022,March,Million Cubic Meter,2327.334656
United Kingdom,2022,April,Million Cubic Meter,11214.465084
Sweden,2022,April,Million Cubic Meter,104.847536
Spain,2022,April,Million Cubic Meter,3235
Slovenia,2022,April,Million Cubic Meter,150.99777
Slovakia,2022,April,Million Cubic Meter,861.919029
Serbia,2022,April,Million Cubic Meter,505.311671
Romania,2022,April,Million Cubic Meter,759.902013
Portugal,2022,April,Million Cubic Meter,1154.761906
Poland,2022,April,Million Cubic Meter,1663.531281
Netherlands,2022,April,Million Cubic Meter,2654
Luxembourg,2022,April,Million Cubic Meter,59.827516
Italy,2022,April,Million Cubic Meter,5126.234741
Hungary,2022,April,Million Cubic Meter,1800.688842
Greece,2022,April,Million Cubic Meter,305.630959
Germany,2022,April,Million Cubic Meter,7320
France,2022,April,Million Cubic Meter,3277
Finland,2022,April,Million Cubic Meter,192.19
Denmark,2022,April,Million Cubic Meter,559.455551
Czech Republic,2022,April,Million Cubic Meter,1436.387602
Croatia,2022,April,Million Cubic Meter,367.537541
Bulgaria,2022,April,Million Cubic Meter,459.523588
Belgium,2022,April,Million Cubic Meter,1135.689072
Austria,2022,April,Million Cubic Meter,1578.560204
United Kingdom,2022,May,Million Cubic Meter,8954.690354
Sweden,2022,May,Million Cubic Meter,95.71826
Spain,2022,May,Million Cubic Meter,2824
Slovenia,2022,May,Million Cubic Meter,110.119825
Slovakia,2022,May,Million Cubic Meter,495.274952
Serbia,2022,May,Million Cubic Meter,302
Romania,2022,May,Million Cubic Meter,677.161016
Portugal,2022,May,Million Cubic Meter,1222.857144
Poland,2022,May,Million Cubic Meter,1247.312251
Netherlands,2022,May,Million Cubic Meter,2082
Luxembourg,2022,May,Million Cubic Meter,39.321204
Italy,2022,May,Million Cubic Meter,4032.850463
Hungary,2022,May,Million Cubic Meter,956.924842
Greece,2022,May,Million Cubic Meter,355.735784
Germany,2022,May,Million Cubic Meter,4795
France,2022,May,Million Cubic Meter,2102
Finland,2022,May,Million Cubic Meter,205.79
Denmark,2022,May,Million Cubic Meter,432.241504
Czech Republic,2022,May,Million Cubic Meter,869.010524
Croatia,2022,May,Million Cubic Meter,241.905332
Bulgaria,2022,May,Million Cubic Meter,417.413224
Belgium,2022,May,Million Cubic Meter,888.596436
Austria,2022,May,Million Cubic Meter,1055.433209
United Kingdom,2022,June,Million Cubic Meter,7431.293864
Sweden,2022,June,Million Cubic Meter,74.41
Spain,2022,June,Million Cubic Meter,2825
Slovenia,2022,June,Million Cubic Meter,99.766606
Slovakia,2022,June,Million Cubic Meter,400.115771
Serbia,2022,June,Million Cubic Meter,308
Romania,2022,June,Million Cubic Meter,597.259378
Portugal,2022,June,Million Cubic Meter,1313.128493
Poland,2022,June,Million Cubic Meter,1113.59874
Netherlands,2022,June,Million Cubic Meter,1923
Luxembourg,2022,June,Million Cubic Meter,31.043973
Italy,2022,June,Million Cubic Meter,4022.618164
Hungary,2022,June,Million Cubic Meter,873.455121
Greece,2022,June,Million Cubic Meter,440.747191
Germany,2022,June,Million Cubic Meter,3920
France,2022,June,Million Cubic Meter,1773
Finland,2022,June,Million Cubic Meter,187.05
Denmark,2022,June,Million Cubic Meter,386.694112
Czech Republic,2022,June,Million Cubic Meter,770.143177
Croatia,2022,June,Million Cubic Meter,234.872516
Bulgaria,2022,June,Million Cubic Meter,395.902724
Belgium,2022,June,Million Cubic Meter,803.901108
Austria,2022,June,Million Cubic Meter,803.195296
United Kingdom,2022,July,Million Cubic Meter,7310.343949
Sweden,2022,July,Million Cubic Meter,105.162
Spain,2022,July,Million Cubic Meter,2979
Slovenia,2022,July,Million Cubic Meter,96.179701
Slovakia,2022,July,Million Cubic Meter,407.458038
Serbia,2022,July,Million Cubic Meter,262
Romania,2022,July,Million Cubic Meter,563.369501
Portugal,2022,July,Million Cubic Meter,1340
Poland,2022,July,Million Cubic Meter,993.183263
Netherlands,2022,July,Million Cubic Meter,1751
Luxembourg,2022,July,Million Cubic Meter,28.078581
Italy,2022,July,Million Cubic Meter,4285.838134
Hungary,2022,July,Million Cubic Meter,929.860239
Greece,2022,July,Million Cubic Meter,555.157333
Germany,2022,July,Million Cubic Meter,3602
France,2022,July,Million Cubic Meter,1775
Finland,2022,July,Million Cubic Meter,169.634
Denmark,2022,July,Million Cubic Meter,332.458725
Czech Republic,2022,July,Million Cubic Meter,680.607438
Croatia,2022,July,Million Cubic Meter,285.573605
Bulgaria,2022,July,Million Cubic Meter,387.153093
Belgium,2022,July,Million Cubic Meter,787.745926
Austria,2022,July,Million Cubic Meter,753.668431
United Kingdom,2022,August,Million Cubic Meter,7346.607414
Sweden,2022,August,Million Cubic Meter,107.72
Spain,2022,August,Million Cubic Meter,2775
Slovenia,2022,August,Million Cubic Meter,87.978615
Slovakia,2022,August,Million Cubic Meter,346.979524
Serbia,2022,August,Million Cubic Meter,246
Romania,2022,August,Million Cubic Meter,550.664591
Portugal,2022,August,Million Cubic Meter,1275.714286
Poland,2022,August,Million Cubic Meter,879.772229
Netherlands,2022,August,Million Cubic Meter,1670
Luxembourg,2022,August,Million Cubic Meter,24.161737
Italy,2022,August,Million Cubic Meter,3610.731629
Hungary,2022,August,Million Cubic Meter,814.097769
Greece,2022,August,Million Cubic Meter,528.820571
Germany,2022,August,Million Cubic Meter,3422
France,2022,August,Million Cubic Meter,1623
Finland,2022,August,Million Cubic Meter,201.789999
Denmark,2022,August,Million Cubic Meter,341.699451
Czech Republic,2022,August,Million Cubic Meter,701.982985
Croatia,2022,August,Million Cubic Meter,270.5014
Bulgaria,2022,August,Million Cubic Meter,288.413318
Belgium,2022,August,Million Cubic Meter,841.792053
Austria,2022,August,Million Cubic Meter,694.020751
United Kingdom,2022,September,Million Cubic Meter,7808.283387
Sweden,2022,September,Million Cubic Meter,89.962407
Spain,2022,September,Million Cubic Meter,2648
Slovenia,2022,September,Million Cubic Meter,100.499044
Slovakia,2022,September,Million Cubic Meter,394.603295
Serbia,2022,September,Million Cubic Meter,314
Romania,2022,September,Million Cubic Meter,600.870305
Portugal,2022,September,Million Cubic Meter,1226.571429
Poland,2022,September,Million Cubic Meter,902.979102
Netherlands,2022,September,Million Cubic Meter,1738
Luxembourg,2022,September,Million Cubic Meter,36.002673
Italy,2022,September,Million Cubic Meter,3883.869812
Hungary,2022,September,Million Cubic Meter,978.73076
Greece,2022,September,Million Cubic Meter,333.074071
Germany,2022,September,Million Cubic Meter,4183
France,2022,September,Million Cubic Meter,2048
Finland,2022,September,Million Cubic Meter,147.634
Denmark,2022,September,Million Cubic Meter,367.550951
Czech Republic,2022,September,Million Cubic Meter,841.962051
Croatia,2022,September,Million Cubic Meter,254.444763
Bulgaria,2022,September,Million Cubic Meter,281.770834
Belgium,2022,September,Million Cubic Meter,877.111909
Austria,2022,September,Million Cubic Meter,1087.395595
United Kingdom,2022,October,Million Cubic Meter,8947.730156
Sweden,2022,October,Million Cubic Meter,109.416
Spain,2022,October,Million Cubic Meter,2806
Slovenia,2022,October,Million Cubic Meter,118.162787
Slovakia,2022,October,Million Cubic Meter,613.885314
Serbia,2022,October,Million Cubic Meter,465.998832
Romania,2022,October,Million Cubic Meter,745.217705
Portugal,2022,October,Million Cubic Meter,1198.666666
Poland,2022,October,Million Cubic Meter,1247.654354
Netherlands,2022,October,Million Cubic Meter,2103
Luxembourg,2022,October,Million Cubic Meter,44.194314
Italy,2022,October,Million Cubic Meter,3951.936768
Hungary,2022,October,Million Cubic Meter,1228.020958
Greece,2022,October,Million Cubic Meter,255.032133
Germany,2022,October,Million Cubic Meter,5078
France,2022,October,Million Cubic Meter,2440
Finland,2022,October,Million Cubic Meter,138.484
Denmark,2022,October,Million Cubic Meter,435.42821
Czech Republic,2022,October,Million Cubic Meter,1119.83497
Croatia,2022,October,Million Cubic Meter,337.965649
Bulgaria,2022,October,Million Cubic Meter,309.656594
Belgium,2022,October,Million Cubic Meter,1021.749145
Austria,2022,October,Million Cubic Meter,1275.201422
United Kingdom,2022,November,Million Cubic Meter,12347.89822
Sweden,2022,November,Million Cubic Meter,107.08
Spain,2022,November,Million Cubic Meter,3270
Slovenia,2022,November,Million Cubic Meter,165.788737
Slovakia,2022,November,Million Cubic Meter,919.410476
Serbia,2022,November,Million Cubic Meter,730.000001
Romania,2022,November,Million Cubic Meter,1108.245715
Portugal,2022,November,Million Cubic Meter,1279.809524
Poland,2022,November,Million Cubic Meter,1807.999098
Netherlands,2022,November,Million Cubic Meter,2605
Luxembourg,2022,November,Million Cubic Meter,59.687059
Italy,2022,November,Million Cubic Meter,5400.68866
Hungary,2022,November,Million Cubic Meter,2000.142982
Greece,2022,November,Million Cubic Meter,366.33131
Germany,2022,November,Million Cubic Meter,7309
France,2022,November,Million Cubic Meter,3784
Finland,2022,November,Million Cubic Meter,157.79
Denmark,2022,November,Million Cubic Meter,541.40536
Czech Republic,2022,November,Million Cubic Meter,1603.008661
Croatia,2022,November,Million Cubic Meter,429.061938
Bulgaria,2022,November,Million Cubic Meter,489.754962
Belgium,2022,November,Million Cubic Meter,1210.150788
Austria,2022,November,Million Cubic Meter,1886.632844
United Kingdom,2022,December,Million Cubic Meter,16522.609981
Sweden,2022,December,Million Cubic Meter,163.402
Spain,2022,December,Million Cubic Meter,3429
Slovenia,2022,December,Million Cubic Meter,193.697377
Slovakia,2022,December,Million Cubic Meter,1191.776171
Serbia,2022,December,Million Cubic Meter,865.175328
Romania,2022,December,Million Cubic Meter,1442.023529
Portugal,2022,December,Million Cubic Meter,1056.190477
Poland,2022,December,Million Cubic Meter,2159.135152
Netherlands,2022,December,Million Cubic Meter,3805
Luxembourg,2022,December,Million Cubic Meter,78.327954
Italy,2022,December,Million Cubic Meter,7164.691711
Hungary,2022,December,Million Cubic Meter,2548.990426
Greece,2022,December,Million Cubic Meter,488.557369
Germany,2022,December,Million Cubic Meter,10224
France,2022,December,Million Cubic Meter,5256
Finland,2022,December,Million Cubic Meter,178.19
Denmark,2022,December,Million Cubic Meter,774.778227
Czech Republic,2022,December,Million Cubic Meter,2046.092146
Croatia,2022,December,Million Cubic Meter,476.822025
Bulgaria,2022,December,Million Cubic Meter,610.796774
Belgium,2022,December,Million Cubic Meter,1711.764526
Austria,2022,December,Million Cubic Meter,2246.686169
United Kingdom,2021,January,Million Cubic Meter,20358.66455
Sweden,2021,January,Million Cubic Meter,368
Spain,2021,January,Million Cubic Meter,5025
Slovenia,2021,January,Million Cubic Meter,237.311044
Slovakia,2021,January,Million Cubic Meter,1543.803714
Serbia,2021,January,Million Cubic Meter,816
Romania,2021,January,Million Cubic Meter,1799.213829
Portugal,2021,January,Million Cubic Meter,569.333334
Poland,2021,January,Million Cubic Meter,2646.331333
Netherlands,2021,January,Million Cubic Meter,5595
Luxembourg,2021,January,Million Cubic Meter,114.28656
Italy,2021,January,Million Cubic Meter,9657.585528
Hungary,2021,January,Million Cubic Meter,3307.95325
Greece,2021,January,Million Cubic Meter,652.382073
Germany,2021,January,Million Cubic Meter,13096.761921
France,2021,January,Million Cubic Meter,6320
Finland,2021,January,Million Cubic Meter,717.8
Denmark,2021,January,Million Cubic Meter,1104.560227
Czech Republic,2021,January,Million Cubic Meter,2676.719328
Croatia,2021,January,Million Cubic Meter,616.2056
Bulgaria,2021,January,Million Cubic Meter,832.667759
Belgium,2021,January,Million Cubic Meter,2293.799347
Austria,2021,January,Million Cubic Meter,2842.269514
United Kingdom,2021,February,Million Cubic Meter,16430.199058
Sweden,2021,February,Million Cubic Meter,310
Spain,2021,February,Million Cubic Meter,3656
Slovenia,2021,February,Million Cubic Meter,204.634585
Slovakia,2021,February,Million Cubic Meter,1396.515676
Serbia,2021,February,Million Cubic Meter,694
Romania,2021,February,Million Cubic Meter,1572.410942
Portugal,2021,February,Million Cubic Meter,388
Poland,2021,February,Million Cubic Meter,2384.336777
Netherlands,2021,February,Million Cubic Meter,4622
Luxembourg,2021,February,Million Cubic Meter,93.965363
Italy,2021,February,Million Cubic Meter,7517.104153
Hungary,2021,February,Million Cubic Meter,2831.9706
Greece,2021,February,Million Cubic Meter,466.409375
Germany,2021,February,Million Cubic Meter,11346.66666
France,2021,February,Million Cubic Meter,4933
Finland,2021,February,Million Cubic Meter,719.799999
Denmark,2021,February,Million Cubic Meter,1054.25253
Czech Republic,2021,February,Million Cubic Meter,2449.086659
Croatia,2021,February,Million Cubic Meter,574.315504
Bulgaria,2021,February,Million Cubic Meter,749.020352
Belgium,2021,February,Million Cubic Meter,1895.20108
Austria,2021,February,Million Cubic Meter,2309.547136
United Kingdom,2021,March,Million Cubic Meter,15817.255186
Sweden,2021,March,Million Cubic Meter,232
Spain,2021,March,Million Cubic Meter,4067
Slovenia,2021,March,Million Cubic Meter,209.348844
Slovakia,2021,March,Million Cubic Meter,1354.264571
Serbia,2021,March,Million Cubic Meter,692
Romania,2021,March,Million Cubic Meter,1597.928365
Portugal,2021,March,Million Cubic Meter,475.142857
Poland,2021,March,Million Cubic Meter,2246.022131
Netherlands,2021,March,Million Cubic Meter,4414
Luxembourg,2021,March,Million Cubic Meter,93.784488
Italy,2021,March,Million Cubic Meter,7409.96888
Hungary,2021,March,Million Cubic Meter,2632.849839
Greece,2021,March,Million Cubic Meter,561.917247
Germany,2021,March,Million Cubic Meter,10684.666677
France,2021,March,Million Cubic Meter,4832
Finland,2021,March,Million Cubic Meter,535.8
Denmark,2021,March,Million Cubic Meter,874.746914
Czech Republic,2021,March,Million Cubic Meter,2315.897899
Croatia,2021,March,Million Cubic Meter,630.114851
Bulgaria,2021,March,Million Cubic Meter,812.309144
Belgium,2021,March,Million Cubic Meter,1815.647949
Austria,2021,March,Million Cubic Meter,2263.928189
United Kingdom,2021,April,Million Cubic Meter,14153.821117
Sweden,2021,April,Million Cubic Meter,200
Spain,2021,April,Million Cubic Meter,3636
Slovenia,2021,April,Million Cubic Meter,180.322432
Slovakia,2021,April,Million Cubic Meter,1074.595219
Serbia,2021,April,Million Cubic Meter,560
Romania,2021,April,Million Cubic Meter,1098.373552
Portugal,2021,April,Million Cubic Meter,543.809524
Poland,2021,April,Million Cubic Meter,1892.922442
Netherlands,2021,April,Million Cubic Meter,3655
Luxembourg,2021,April,Million Cubic Meter,78.87066
